{'test': 0, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 1, 'deepcegar': 0.023, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 2, 'deepcegar': 0.012, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 3, 'deepcegar': 0.025, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 4, 'deepcegar': 0.011, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 5, 'deepcegar': 0.017, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 6, 'deepcegar': 0.009, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 7, 'deepcegar': 0.022, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 8, 'deepcegar': 0.02, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 9, 'deepcegar': 0.012, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 10, 'deepcegar': 0.028, 'deepzono': 0.027, 'deepinput': 0.027}
{'test': 11, 'deepcegar': 0.003, 'deepzono': 0.003, 'deepinput': 0.003}
{'test': 12, 'deepcegar': 0.023, 'deepzono': 0.021, 'deepinput': 0.022}
{'test': 13, 'deepcegar': 0.02, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 14, 'deepcegar': 0.02, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 15, 'deepcegar': 0.001, 'deepzono': 0.001, 'deepinput': 0.001}
{'test': 16, 'deepcegar': 0.021, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 17, 'deepcegar': 0.024, 'deepzono': 0.021, 'deepinput': 0.022}
{'test': 18, 'deepcegar': 0.0, 'deepzono': 0.0, 'deepinput': 0.0}
{'test': 19, 'deepcegar': 0.012, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 20, 'deepcegar': 0.017, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 21, 'deepcegar': 0.013, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 22, 'deepcegar': 0.014, 'deepzono': 0.012, 'deepinput': 0.013}
{'test': 23, 'deepcegar': 0.027, 'deepzono': 0.026, 'deepinput': 0.026}
{'test': 24, 'deepcegar': 0.009, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 25, 'deepcegar': 0.03, 'deepzono': 0.028, 'deepinput': 0.028}
{'test': 26, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 27, 'deepcegar': 0.019, 'deepzono': 0.016, 'deepinput': 0.017}
{'test': 28, 'deepcegar': 0.026, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 29, 'deepcegar': 0.016, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 30, 'deepcegar': 0.032, 'deepzono': 0.031, 'deepinput': 0.031}
{'test': 31, 'deepcegar': 0.019, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 32, 'deepcegar': 0.02, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 33, 'deepcegar': 0.011, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 34, 'deepcegar': 0.015, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 35, 'deepcegar': 0.024, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 36, 'deepcegar': 0.019, 'deepzono': 0.017, 'deepinput': 0.018}
{'test': 37, 'deepcegar': 0.025, 'deepzono': 0.023, 'deepinput': 0.023}
{'test': 38, 'deepcegar': 0.0, 'deepzono': 0.0, 'deepinput': 0.0}
{'test': 39, 'deepcegar': 0.018, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 40, 'deepcegar': 0.014, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 41, 'deepcegar': 0.016, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 42, 'deepcegar': 0.009, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 43, 'deepcegar': 0.021, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 44, 'deepcegar': 0.022, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 45, 'deepcegar': 0.019, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 46, 'deepcegar': 0.013, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 47, 'deepcegar': 0.025, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 48, 'deepcegar': 0.016, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 49, 'deepcegar': 0.013, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 50, 'deepcegar': 0.013, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 51, 'deepcegar': 0.04, 'deepzono': 0.037, 'deepinput': 0.037}
{'test': 52, 'deepcegar': 0.021, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 53, 'deepcegar': 0.011, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 54, 'deepcegar': 0.017, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 55, 'deepcegar': 0.016, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 56, 'deepcegar': 0.022, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 57, 'deepcegar': 0.014, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 58, 'deepcegar': 0.021, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 59, 'deepcegar': 0.018, 'deepzono': 0.015, 'deepinput': 0.016}
{'test': 60, 'deepcegar': 0.025, 'deepzono': 0.023, 'deepinput': 0.024}
{'test': 61, 'deepcegar': 0.016, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 62, 'deepcegar': 0.007, 'deepzono': 0.007, 'deepinput': 0.007}
{'test': 63, 'deepcegar': 0.024, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 64, 'deepcegar': 0.021, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 65, 'deepcegar': 0.008, 'deepzono': 0.007, 'deepinput': 0.007}
{'test': 66, 'deepcegar': 0.0, 'deepzono': 0.0, 'deepinput': 0.0}
{'test': 67, 'deepcegar': 0.01, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 68, 'deepcegar': 0.036, 'deepzono': 0.03, 'deepinput': 0.031}
{'test': 69, 'deepcegar': 0.029, 'deepzono': 0.029, 'deepinput': 0.029}
{'test': 70, 'deepcegar': 0.025, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 71, 'deepcegar': 0.047, 'deepzono': 0.044, 'deepinput': 0.045}
{'test': 72, 'deepcegar': 0.021, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 73, 'deepcegar': 0.015, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 74, 'deepcegar': 0.023, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 75, 'deepcegar': 0.017, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 76, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 77, 'deepcegar': 0.014, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 78, 'deepcegar': 0.014, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 79, 'deepcegar': 0.022, 'deepzono': 0.022, 'deepinput': 0.022}
